employee_id,作業日,department,project_code,作業時間,コスト,ステータス,メモ
E0009,2026-04-03,sales,A100,8,"¥18,000",pending,重複確認
E0036,2026-04-03,サポート,社内,9時間,15000,done,重複確認
E0113,2026-04-03,開発,A100,9時間,"20,000円",差戻し,要確認
 emp-0025 ,2026-04-03,開発,B200,8,12000,差戻し,要確認
E0116,2026-04-03,accounting,社内,7.5,不明,完了,重複確認
E0023,2026-04-03, Sales ,B200,-2,"20,000円",done,重複確認
e0099,2026-04-03,経理,C300,-2,12000,pending,要確認
E0012,2026-04-03,営業,A100,8,15000,確認中,
E0054,2026-04-03,Support,C300,9時間,不明,done,重複確認
E0105,2026-04-03,人事,社内,7.5,不明,done,重複確認
E0095,2026-04-03,サポート,internal,6,不明,pending,要確認
E0077,未定,HR,B200,8,不明,done,重複確認
E0012,2026-04-03,経理,A100,N/A,"¥18,000",完了,入力確認
E0030,2026-04-03, Sales ,B200,6,"20,000円",pending,入力確認
E0044,2026-04-03,Support,C300,8,"¥18,000",done,重複確認
E0107,2026-04-03,ＤＥＶ,B200,8,不明,完了,入力確認
E0102,2026-04-03,経理,A100,9時間,不明,pending,重複確認
E0081,2026-04-03,dev,B200,9時間,12000,done,重複確認
E0114,2026-04-03,経理,社内,8,不明,完了,
E0024,2026-04-03,Support, Internal ,-2,"¥18,000",done,
 emp-0082 ,2026-04-03, Sales ,B200,-2,12000,rework,要確認
E0056,2026-04-03,サポート,社内,8,"20,000円",rework,
E0117,2026-04-03,Support,A100,-2,"¥18,000",done,
E0003,2026-04-03,HR, Internal ,7.5,不明,rework,入力確認
E0117,2026-04-03,HR,A100,N/A,不明,確認中,重複確認
E0090,2026-04-03,経理, Internal ,9時間,不明,done,入力確認
E0040,2026-04-03,ＤＥＶ, Internal ,-2,"20,000円",完了,要確認
E0065,2026-04-03,開発,B200,8,12000,完了,重複確認
E0068,2026-04-03,営業,B200,8,不明,pending,
e0113,2026-04-03,accounting,社内,8,"20,000円",完了,重複確認
E0070,2026-04-03,サポート,B200,8,"20,000円",確認中,重複確認
E0014,2026-04-03,サポート,internal,6,"¥18,000",DONE,入力確認
E0073,2026-04-03, Sales ,B200,N/A,"20,000円",確認中,重複確認
E0077,2026-04-03,dev,A100,-2,不明,rework,要確認
E0035,2026-04-03, Sales , Internal ,6,12000,確認中,要確認
E0005,2026-04-03,accounting,internal,7.5,12000,確認中,入力確認
E0041,2026-04-03,経理,C300,N/A,15000,差戻し,入力確認
 emp-0037 ,2026-04-03,sales,C300,8,不明,完了,重複確認
E0109,2026-04-03,HR,社内,9時間,"¥18,000",差戻し,
E0110,2026-04-03,開発,B200,-2,12000,差戻し,入力確認
E0015,2026-04-03,Support, Internal ,-2,不明,差戻し,
E0116,2026-04-03,営業,B200,8,12000,pending,入力確認
E0019,2026-04-03,ＤＥＶ,社内,6,"¥18,000",差戻し,重複確認
E0055,2026-04-03,経理,internal,9時間,15000,pending,要確認
E0020,2026-04-03,経理,C300,8,"20,000円",差戻し,重複確認
E0076,2026-04-03,dev,C300,6,"¥18,000",DONE,重複確認
E0093,2026-04-03,経理, Internal ,N/A,不明,rework,入力確認
E0090,2026-04-03,HR,internal,N/A,12000,rework,要確認
E0010,2026-04-03,営業,internal,-2,12000,pending,要確認
E0072,2026-04-03,sales,C300,6,"20,000円",rework,要確認
E0052,2026-04-03, Sales ,internal,N/A,12000,差戻し,重複確認
E0004,2026-04-03,HR, Internal ,6,"¥18,000",DONE,重複確認
e0055,2026-04-03,dev,internal,N/A,12000,DONE,入力確認
E0076,2026-04-03,経理,A100,9時間,12000,完了,
 emp-0101 ,2026-04-03,ＤＥＶ,C300,7.5,"¥18,000",完了,入力確認
E0089,2026-04-03,accounting,internal,7.5,不明,pending,入力確認
E0058,2026-04-03, Sales ,internal,7.5,15000,pending,
E0002,2026-04-03,Support,B200,8,"¥18,000",DONE,要確認
E0031,2026-04-03,サポート,社内,7.5,15000,確認中,
E0074,2026-04-03,サポート,B200,9時間,"¥18,000",rework,入力確認
E0119,2026-04-03,営業,社内,N/A,12000,確認中,要確認
E0116,2026-04-03,dev, Internal ,7.5,12000,完了,入力確認
E0034,2026-04-03,開発,B200,N/A,"¥18,000",差戻し,重複確認
E0077,2026-04-03,開発, Internal ,7.5,不明,完了,要確認
E0070,未定,HR, Internal ,8,不明,DONE,要確認
E0074,2026-04-03,Support,B200,N/A,不明,完了,入力確認
E0016,2026-04-03,Support,B200,9時間,15000,完了,
E0027,2026-04-03, Sales ,C300,8,12000,pending,入力確認
E0037,2026-04-03,営業,社内,8,"¥18,000",確認中,重複確認
E0062,2026-04-03,営業, Internal ,9時間,不明,差戻し,
E0113,2026-04-03,経理,C300,-2,12000,確認中,入力確認
 emp-0061 ,2026-04-03,経理, Internal ,7.5,15000,DONE,重複確認
E0005,2026-04-03,accounting, Internal ,6,"¥18,000",rework,重複確認
E0108,2026-04-03,HR,社内,9時間,15000,pending,
E0055,2026-04-03,開発,B200,-2,不明,pending,要確認
e0074,2026-04-03,サポート,internal,-2,"¥18,000",確認中,重複確認
E0119,2026-04-03,ＤＥＶ,C300,9時間,不明,確認中,入力確認
E0106,2026-04-03,開発,internal,7.5,"20,000円",rework,重複確認
E0050,2026-04-03,HR,社内,N/A,"20,000円",確認中,要確認
E0043,2026-04-03,ＤＥＶ,B200,7.5,"20,000円",done,
E0049,2026-04-03,人事,A100,8,12000,完了,要確認
E0100,2026-04-03,サポート,社内,-2,15000,確認中,要確認
E0062,2026-04-03,accounting,B200,7.5,不明,done,
E0012,2026-04-03,dev,B200,6,"20,000円",完了,入力確認
E0064,2026-04-03,sales,A100,9時間,"20,000円",pending,
E0016,2026-04-03,ＤＥＶ,internal,7.5,不明,DONE,
