employee_id,作業日,department,project_code,作業時間,コスト,ステータス,メモ
E0006,2026-04-01,営業,C300,N/A,12000,差戻し,
E0103,2026-04-01,Support,internal,6,12000,完了,
E0021,2026-04-01,dev,C300,9時間,不明,確認中,要確認
E0009,2026-04-01,サポート,internal,9時間,15000,差戻し,重複確認
E0071,2026-04-01,Support,C300,6,15000,pending,要確認
E0118,2026-04-01,営業,社内,7.5,12000,done,要確認
E0111,2026-04-01,sales,C300,6,15000,差戻し,重複確認
E0088,2026-04-01,サポート,社内,7.5,12000,rework,要確認
E0018,2026-04-01,Support,B200,-2,15000,完了,要確認
E0110,2026-04-01,人事,internal,9時間,12000,完了,
E0099,2026-04-01,Support,internal,9時間,15000,完了,重複確認
E0051,2026-04-01,人事,internal,9時間,"¥18,000",done,重複確認
E0106,2026-04-01,経理,B200,9時間,12000,DONE,
E0073,2026-04-01,Support,C300,9時間,12000,DONE,重複確認
E0069,2026-04-01,営業,internal,N/A,"20,000円",done,
E0076,2026-04-01,HR,A100,6,"¥18,000",rework,
 emp-0038 ,2026-04-01,サポート,社内,9時間,15000,pending,入力確認
E0022,2026-04-01,Support,internal,-2,12000,完了,入力確認
E0037,2026-04-01,HR,社内,9時間,12000,pending,重複確認
E0083,2026-04-01,人事,A100,N/A,"¥18,000",差戻し,重複確認
E0105,2026-04-01,ＤＥＶ,B200,6,"20,000円",差戻し,
E0029,2026-04-01,開発,C300,7.5,12000,差戻し,重複確認
e0095,2026-04-01,人事,社内,8,15000,done,重複確認
E0009,2026-04-01,HR,C300,N/A,15000,pending,要確認
E0025,2026-04-01,開発,A100,-2,"¥18,000",pending,
E0018,2026-04-01, Sales ,A100,N/A,"20,000円",完了,入力確認
E0069,2026-04-01,accounting,社内,-2,"20,000円",pending,重複確認
E0033,2026-04-01, Sales ,C300,N/A,"¥18,000",完了,
E0090,2026-04-01,営業,internal,8,"20,000円",差戻し,重複確認
E0074,2026-04-01,accounting,C300,6,"¥18,000",DONE,入力確認
E0110,2026-04-01,sales, Internal ,8,"20,000円",pending,入力確認
E0081,2026-04-01,経理, Internal ,8,15000,差戻し,要確認
E0047,2026-04-01,sales,A100,-2,"20,000円",done,入力確認
 emp-0109 ,2026-04-01,sales,社内,-2,"20,000円",確認中,要確認
E0025,2026-04-01,人事,C300,6,"20,000円",差戻し,入力確認
E0064,2026-04-01,Support,internal,6,"20,000円",pending,入力確認
E0069,2026-04-01,ＤＥＶ,internal,7.5,"20,000円",DONE,
E0057,2026-04-01,sales,A100,8,12000,rework,要確認
E0080,2026-04-01,Support,B200,9時間,"20,000円",rework,要確認
E0094,2026-04-01, Sales ,A100,7.5,"¥18,000",done,要確認
E0054,2026-04-01,HR,C300,7.5,12000,差戻し,重複確認
E0037,2026-04-01,ＤＥＶ,C300,-2,"¥18,000",確認中,要確認
E0097,2026-04-01,営業,A100,-2,12000,完了,重複確認
E0016,2026-04-01,開発,B200,8,"20,000円",確認中,重複確認
E0090,2026-04-01,人事,B200,6,"¥18,000",DONE,重複確認
e0011,2026-04-01,開発, Internal ,8,不明,pending,
E0010,2026-04-01,経理, Internal ,N/A,12000,pending,
E0097,2026-04-01,accounting, Internal ,6,"20,000円",rework,要確認
E0076,2026-04-01,HR,B200,8,不明,確認中,
E0084,2026-04-01,開発,A100,7.5,15000,DONE,入力確認
 emp-0005 ,2026-04-01,ＤＥＶ,internal,-2,不明,DONE,入力確認
E0067,2026-04-01,accounting, Internal ,N/A,不明,rework,要確認
E0001,未定,開発,社内,-2,"¥18,000",pending,入力確認
E0003,2026-04-01,dev, Internal ,9時間,不明,pending,
E0049,2026-04-01,ＤＥＶ,C300,6,"¥18,000",差戻し,入力確認
E0110,2026-04-01,サポート,A100,8,12000,確認中,要確認
E0114,2026-04-01,sales, Internal ,8,12000,差戻し,
E0018,2026-04-01,営業,internal,9時間,12000,差戻し,重複確認
E0004,2026-04-01,人事,A100,-2,"¥18,000",rework,入力確認
E0035,2026-04-01, Sales ,C300,N/A,"20,000円",差戻し,
E0011,2026-04-01,accounting,社内,7.5,"¥18,000",DONE,重複確認
E0020,2026-04-01,開発,internal,7.5,不明,差戻し,要確認
E0042,2026-04-01,sales,A100,9時間,"20,000円",差戻し,入力確認
E0038,2026-04-01,Support,C300,N/A,"20,000円",完了,重複確認
E0087,2026-04-01,dev,社内,-2,"¥18,000",DONE,重複確認
E0036,2026-04-01,dev,B200,9時間,不明,rework,要確認
E0115,2026-04-01,ＤＥＶ,C300,8,不明,DONE,要確認
 emp-0108 ,2026-04-01,dev,B200,-2,不明,差戻し,入力確認
e0069,2026-04-01,accounting, Internal ,-2,不明,差戻し,
E0071,2026-04-01,sales,internal,6,12000,完了,重複確認
E0014,2026-04-01,sales,internal,-2,"20,000円",pending,入力確認
E0079,2026-04-01,dev,internal,-2,"¥18,000",rework,要確認
E0087,2026-04-01,営業, Internal ,7.5,12000,完了,要確認
E0032,2026-04-01,開発,C300,8,15000,DONE,要確認
E0055,2026-04-01,HR,A100,N/A,12000,確認中,重複確認
E0014,2026-04-01,営業, Internal ,8,"20,000円",完了,要確認
E0074,2026-04-01,人事,B200,8,"20,000円",DONE,重複確認
E0027,2026-04-01,ＤＥＶ,internal,6,15000,rework,入力確認
E0049,2026-04-01,開発, Internal ,8,15000,完了,入力確認
E0053,2026-04-01,サポート,社内,-2,"¥18,000",完了,入力確認
E0104,2026-04-01,人事,B200,8,15000,完了,入力確認
E0097,2026-04-01,Support,A100,6,"¥18,000",done,重複確認
E0014,2026-04-01,Support, Internal ,N/A,"¥18,000",確認中,要確認
E0012,2026-04-01,dev,B200,6,15000,完了,要確認
 emp-0066 ,2026-04-01,dev, Internal ,6,"20,000円",完了,入力確認
E0072,2026-04-01, Sales ,社内,N/A,"20,000円",完了,入力確認
E0052,2026-04-01,accounting,社内,N/A,15000,差戻し,重複確認
E0046,2026-04-01,Support, Internal ,9時間,"20,000円",DONE,
E0070,2026-04-01,HR,internal,9時間,"¥18,000",差戻し,要確認
E0060,2026-04-01,sales, Internal ,7.5,12000,完了,入力確認
E0069,2026-04-01,開発,C300,6,不明,完了,入力確認
e0041,2026-04-01,ＤＥＶ,internal,9時間,15000,完了,入力確認
E0081,2026-04-01,サポート,B200,6,"¥18,000",rework,重複確認
E0064,2026-04-01,dev,B200,7.5,"¥18,000",done,入力確認
E0034,2026-04-01,経理,B200,-2,不明,DONE,重複確認
E0054,2026-04-01,経理,C300,N/A,12000,DONE,要確認
E0003,2026-04-01,HR,A100,-2,不明,確認中,重複確認
E0010,2026-04-01,開発,社内,7.5,"20,000円",done,入力確認
E0013,2026-04-01,sales,internal,8,"¥18,000",完了,入力確認
E0049,2026-04-01,サポート, Internal ,-2,"20,000円",done,
